,TITLE,PUBLISHER,CATEGORY,cleaned
30202,Missing Bitcoins Found As Mt. Gox Recovers $120 Million From Old Electronic  ...,Huffington Post,b,miss bitcoin find electronic
30234,"REFILE-UPDATE 1-Mt. Gox says it found 200000 bitcoins in ""forgotten"" wallet",Reuters,b,say find bitcoin forget wallet
30277,Mt. Gox Lawsuit Judge Loosens Bitcoin Freeze to Chase Assets (2),Businessweek,b,freeze
30283,"Mt. Gox exchange says it retains nearly a quarter of ""lost"" bitcoins",GlobalPost,b,exchange say retain nearly quarter lose bitcoin
30310,Samsung to tap deeper into U.S. UHD market,GlobalPost,t,Samsung tap deeper market
30459,Google gives Gmail a security boost in bid to stop spy snooping,Daily Mail,t,give security boost bid stop spy snoop
30497,Toyota $1.2 Billion Deal Approved as Judge Says Fraud Kills (2),Businessweek,t,approve say
30500,NY judge scolds Toyota but approves $1.2B government settlement over rapid  ...,GlobalPost,t,judge scold approve government settlement rapid
30503,Toyota Settles Criminal Charges with $1.2B - Analyst Blog,NASDAQ,t,settle charge
30516,Toyota admits deceiving consumers; $1.2-billion penalty is record,Los Angeles Times,t,admit deceive consumer penalty record
30517,Toyota reaches settlement in U.S. criminal investigation,Examiner.com,t,reach settlement criminal investigation
30549,"US announces $1.2B settlement with Toyota, files criminal charge for 'misleading  ...",GlobalPost,t,announce 1.2B settlement file criminal charge misleading
30555,UPDATE 6-Toyota's $1.2 bln settlement may be model for US probe into GM,Reuters,t,bln settlement model probe
30663,Toyota Admits It Misled The Public About Multiple Safety Issues,Huffington Post,t,admit mislead public multiple
30665,US announces $1.2bnToyota settlement,Daily Mail,t,announce settlement
30666,US says Toyota to pay $1.2 bln penalty over safety issues,Reuters,t,say pay penalty safety issue
30672,REFILE-Toyota in US settlement over unintended acceleration -source,Reuters,t,settlement unintended acceleration
30683,Big Asteroid To Eclipse Bright Star 'Regulus' In Rare Celestial Sight Thursday  ...,Huffington Post,t,big asteroid regulus
30684,Neil deGrasse Tyson Talks Asteroids With 9-Year-Old Boy In Michigan,Huffington Post,t,
30741,Google's Apparently Sick Of Hearing People Complain About Glass,Huffington Post,t,apparently sick hear People complain glass
30767,Why Can't Google Stick With Its New Products?,Huffington Post,t,product
30837,Netflix CEO Calls for Stronger Rules on Handling Web Traffic (1),Businessweek,t,netflix ceo call strong rule handle web traffic
30843,Netflix CEO Slams Web Companies Over Net Neutrality,Huffington Post,t,netflix ceo slam web company net neutrality
30853,Netflix CEO Reed Hastings blasts ISPs in net neutrality row,Daily Mail,t,netflix ceo blast isp net neutrality row
30854,Netflix Changes Stance on Net Neutrality - Analyst Blog,NASDAQ,t,
30863,"Netflix calls for strong net neutrality rules, plays ISPs' games",Los Angeles Times,t,call strong net neutrality rule play isp game
30883,Netflix Just Opened the Door to Paying ISPs More Access Fees,Businessweek,t,open door pay isp access fee
30931,Netflix Calls for Stronger Rules on Handling of Web Traffic (2),Businessweek,t,call strong rule web traffic
30935,Netflix Chief Still Wants Free Web Connections with Broadband Providers  ...,NASDAQ,t,want free web
30939,Netflix CEO Says Broadband Providers Should Interconnect for Free,NASDAQ,t,ceo say interconnect free
31051,"Former Microsoft employee charged with stealing, leaking trade secrets to blogger",GlobalPost,t,employee charge steal leak trade secret blogger
31058,Ex-Microsoft Employee Charged With Stealing Trade Secrets (2),Businessweek,t,charge steal
31068,Microsoft Said It Will Change Policies for Accessing User Emails,NASDAQ,t,say change access email
31081,Ex-Microsoft Employee Charged With Stealing Trade Secrets (1),Businessweek,t,charge steal
31177,California challenges Facebook argument on online teen privacy,Los Angeles Times,t,challenge argument online teen privacy
31319,"Sprint, T-Mobile announce Samsung Galaxy S5 reservations, pre-orders",Los Angeles Times,t,announce reservation pre order
31342,"Pre-Orders for Samsung Gear 2, Gear 2 Neo and Gear Fit Through AT&T",Examiner.com,t,pre gear
31359,Samsung Galaxy S5 price and pre-order kick off date for select US carriers,Examiner.com,t,price pre order kick date select carrier
31490,"AT&T to take Samsung Galaxy S5, Gear 2, Gear Fit pre-orders on Friday",Los Angeles Times,t,at&t pre order
31585,Creationists Demand Airtime On Neil deGrasse Tyson's 'Cosmos',Huffington Post,t,creationist demand airtime
31589,"Danny Faulkner demands airtime on ""Cosmos"" for creationists",Examiner.com,t,demand airtime creationist
31591,"Creationists go nuts over Cosmos, demand ""equal time""",Examiner.com,t,creationist nut demand equal time
31625,Twitter looks up your first tweet: Pull up your first tweet on new Twitter tool,Examiner.com,t,twitter look tweet pull tweet new tool
31744,"What was YOUR first tweet? As Twitter turns 8, it reveals celebs first words on the  ...",Daily Mail,t,tweet turn reveal celebs word
31749,Your First Tweet Was Probably Better Than These Celebrities',Huffington Post,t,probably well celebrity
31765,Celebrate Twitter's 8th birthday with tool to find your first tweet,Los Angeles Times,t,celebrate 8th birthday tool find tweet
31805,"'Chicken from hell': 11-foot dinosaur like a bird-like demon, stuns scientists",Examiner.com,t,chicken dinosaur bird like demon stun scientist
31812,Table Talk: Scientists Discover New Chicken-Like Dinosaur,Huffington Post,t,table talk scientist discover like dinosaur
31849,"Free iPhone apps worth downloading today, free Android app deals",Examiner.com,t,app worth download today free app deal
31899,'The Grand Budapest Hotel' is a Wes Anderson classic,Examiner.com,e,classic
31905,Movie review: 'The Grand Budapest Hotel' definitely worth checking into,Examiner.com,e,movie review definitely worth check
31936,Welcome To The Hotel Andersonia,Huffington Post,e,welcome hotel
31948,Film reviews for YOU: The Grand Budapest Hotel by Maria Realf,Daily Mail,e,film review
31957,Ralph Fiennes - The Grand Budapest Hotel cast bonded over dinner party,Contactmusic.com,e,cast bond dinner party
31990,Russell Crowe movie 'Noah' set to take world by storm,Daily Mail,e,movie set world storm
31994,Lisa Marie Presley reveals Biblical 'drink off' with Noah star Russell Crowe,Daily Mail,e,reveal drink star
31996,'Noah' Film Receives Praise From Christian Evangelicals Unfazed By 'Creative  ...,Huffington Post,e,film receive praise unfaze creative
32019,"'Noah': Ark-sized ambition with uneven results, early reviews say",Los Angeles Times,e,ark sized ambition uneven result early review
32025,Darren Aronofsky floats a fuller version of the Bible's Noah tale,Los Angeles Times,e,float full version tale
32032,Darren Aronofsky's 'Noah' Finds Rough Seas In The Leadup To March 28 Release,Huffington Post,e,find rough
32049,Noah - Jennifer Connelly: 'Religious Experts Are Coming Round To Noah',Contactmusic.com,e,connelly religious expert come round
32095,'Muppets:' Kermit the Frog ready for super-hero duty as Amphibian-Man,Los Angeles Times,e,muppet kermit frog ready super hero duty man
32113,'The Muppets' Are Still Most Wanted - But Who's Your Favorite?,Contactmusic.com,e,want favorite
32118,"Muppets: Most Wanted Isn't Just For Kids, Apparently",Contactmusic.com,e,muppet want apparently
32133,"Kermit, other 'Muppets Most Wanted' stars suit up in Brooks Brothers",Los Angeles Times,e,muppet want star suit
32184,'Muppets Most Wanted' review: fun with the fuzz vs. the fuzzy,Los Angeles Times,e,want review fun fuzz fuzzy
32210,'Muppets Most Wanted' is one of their best,Examiner.com,e,want good
32211,“Divergent” and the Muppets come into theaters this weekend,Examiner.com,e,come theater weekend
32228,Movie review: 'Muppets Most Wanted' a disappointing leap backwards,Examiner.com,e,movie review want disappointing leap backwards
32342,Time to Put a Line Under John Travoltaâ€™s Idina Menzel Oscars Faux Pas?,Contactmusic.com,e,time line
32351,"Idina Menzel And John Travolta Are Still ""Buddies"" Despite Oscar Faux Pas",Contactmusic.com,e,buddy
32374,Idina Menzel & John Travolta Are 'Buddies' (Adele Dazeem Is Probably His  ...,Huffington Post,e,buddy probably
32391,How John Travolta made up to Idina Menzel for flubbing her name at the Oscars,Daily Mail,e,flub
32429,Angelina Jolie - Stella McCartney creates Maleficent fashion line,Contactmusic.com,e,create fashion line
32440,Angelina Jolie - Angelina Jolie Teams Up With Stella Mccartney For Kids  ...,Contactmusic.com,e,
32476,"New 'Maleficent' Trailer Turns Angelina Jolie Into A Beautiful, Winged Beast",Huffington Post,e,new turn beautiful winged
32480,"'Game Of Thrones' Cast, George RR Martin Surprise Thousands Of Fans At  ...",Huffington Post,e,fan
32500,Another Sign 'Game Of Thrones' Will Be Around For Seasons 5 & 6,Huffington Post,e,
32504,'Game of Thrones' Season 4: Westeros invades New York City,Los Angeles Times,e,season
32507,Home > News > Game Of Thrones Author George RR Martin Gifts Fan With  ...,Contactmusic.com,e,home > news >
32522,'Game of Thrones' showrunners sign on for 2 more seasons,Examiner.com,e,showrunner sign season
32538,"Please, Don't Make a 'Game of Thrones' Movie. Just Don't Do It.",Contactmusic.com,e,
32572,Rolling Stones 14 On Fire Tour postponement losses estimated at $10 million,Examiner.com,e,postponement loss estimate
32575,L'Wren Scott's funeral to be held in Los Angeles,Contactmusic.com,e,funeral hold
32583,AMANDA PLATELL: Mick's girl and a tragic parable for women,Daily Mail,e,PLATELL girl tragic parable woman
32585,"Rolling Stones 'Lips' Creator Calls Jagger a ""Bad Guy""",Contactmusic.com,e,call
32595,Sir Mick Jagger - L'wren Scott's Funeral To Be Held In Los Angeles - Report,Contactmusic.com,e,funeral hold
32629,Mick Jagger Speaks On Girlfriend L'Wren Scott's Suicide,RTT News,e,speak suicide
32637,L'wren Scott - Representative: 'L'wren Scott Was Not Planning Company Closure',Contactmusic.com,e,closure
32639,"A Week In News: L'Wren Scott, A Middle Finger Lawsuit, And A Clever Pooch  ...",Contactmusic.com,e,week news
32641,UPDATE 1-Designer L'Wren Scott's rep denies fashion firm had financial woes,Reuters,e,rep deny fashion firm financial woe
32642,L'Wren Scott's business was in decent shape,GlobalPost,e,business decent shape
32675,L'wren Scott - L'Wren Scott hated adopted life,Contactmusic.com,e,hate adopt life
32684,L'wren Scott - L'wren Scott's Sister Wants Body Returned Home To Utah,Contactmusic.com,e,want return home
32703,Justin Theroux films The Leftovers amid reports he and Jennifer Aniston 'plan to  ...,Daily Mail,e,film report plan
32719,Jennifer Aniston - Jennifer Aniston wants to elope,Contactmusic.com,e,want elope
32729,Jennifer Aniston and Justin Theroux 'want to elope this spring',Daily Mail,e,want elope spring
32763,Kevin Bacon has amazing 'Footloose' entrance on 'The Tonight Show',Examiner.com,e,amazing footloose entrance
32840,Billy Joel duets with Jimmy Fallon,Examiner.com,e,duet
32868,'Mad Men' cast starts the goodbyes and other PaleyFest highlights,Los Angeles Times,e,mad man cast start goodbye highlight
32873,Mad Men stars Jessica Pare and Christina Hendricks at PaleyFest 2014,Daily Mail,e,mad star
32930,Exclusive 'Mad Men' Cast Photo Shows It's About To Get Groovy,Huffington Post,e,exclusive mad man photo show
32957,Disney's 'Aladdin' opens on Broadway to warm critical reception,Los Angeles Times,e,open warm critical reception
32968,Tina Fey opts for casual chic in jeans and leather jacket at Broadway premiere of  ...,Daily Mail,e,opt casual chic jean leather jacket premiere
32979,Aisle View: Brass Lamp Turns Gold,Huffington Post,e,aisle view turn gold
33012,Chris Hemsworth pictured driving Elsa Pataky to hospital before welcoming twins,Daily Mail,e,picture drive hospital welcome twin
33024,Double trouble! Chris Hemsworth and wife Elsa Pataky welcome twin BOYS,Daily Mail,e,double trouble wife welcome twin boy
33026,Chris Hemsworth And Wife Elsa Pataky Welcome Twin Boys,Contactmusic.com,e,welcome twin boy
33051,Chris Hemsworth - Chris Hemsworth and wife welcome twin boys,Contactmusic.com,e,wife welcome twin boy
33056,"Chris Hemsworth, Elsa Pataky add twin babies to their family",Los Angeles Times,e,add twin baby family
33104,String Cover Of 'Happy' Is Too Perfect For International Day of Happiness,Huffington Post,e,stre cover happy perfect
33159,String Cover Of 'Happy' Is Too Perfect For International Day of Happiness (VIDEO),Huffington Post,e,stre cover happy perfect
33160,"International Day of Happiness: World, Pharrell Williams get happy",Los Angeles Times,e,world happy
33210,4 Ways to Have A Happy Day (And Life) in Your Body,Huffington Post,e,way life body
33215,Paul Walker's mom seeks guardianship of actor's daughter Meadow,Los Angeles Times,e,mom seek guardianship actor daughter
33219,Paul Walker's daughter upset with grandmother,Contactmusic.com,e,daughter upset grandmother
33230,Paul Walker's Mother Pursuing Guardianship Of His Teenage Daughter,Contactmusic.com,e,daughter
33234,Paul Walker begged mother Cheryl to care for daughter Meadow just before death,Daily Mail,e,beg mother care daughter death
33279,Paul Walker's Mom Seeks Guardianship Of Granddaughter,Huffington Post,e,
33283,'Divergent' scores at box office; 'Muppets Most Wanted' disappoints,Los Angeles Times,e,score box office want disappoint
33286,"'Divergent' collects $5 million on Thursday night, $22.8 mil on Friday",Examiner.com,e,collect night mil
33294,"'Insurgent' Has Officially Been Given The Green Light For 2015, Not That You  ...",Huffington Post,e,insurgent officially give
33335,'Divergent' undaunted; hauls in $4.9 million already,Examiner.com,e,undaunte haul
33337,'Divergent' delivers strong $4.9 million from Thursday showings,Los Angeles Times,e,deliver strong showing
33346,Lions Gate Revisits Teen-Warrior Dystopia in 'Divergent',Businessweek,e,divergent
33356,'Divergent' likely to pass box-office test; 'Muppets' looks solid,Los Angeles Times,e,likely pass box office test muppet look solid
33359,'Divergent' Set To Take Over Box Office This Weekend,RTT News,e,divergent set weekend
33366,"'Fast 7' Will Use Body Doubles, CGI To Dub Missing Paul Walker Scenes",Huffington Post,e,fast cgi miss
33402,Fast - Actors To Double For Paul Walker On Fast & Furious,Contactmusic.com,e,fast actor
33422,Tyrese Gibson reveals how Paul Walker will be honoured on Fast And Furious 7  ...,Daily Mail,e,reveal honour
33457,Anita Baker reveals she's 'terrified' by warrant issued for her arrest as she insists  ...,Daily Mail,e,reveal terrify warrant issue arrest insist
33467,Anita Baker Tweets After Finding Out About Her Arrest Warrant By A TV Report,Contactmusic.com,e,find arrest warrant tv report
33484,Anita Baker shocked to hear there's a warrant for her arrest in Detroit,Examiner.com,e,shock hear warrant arrest
33500,Anita Baker - Anita Baker Stunned By Arrest Warrant,Contactmusic.com,e,stun arrest
33509,DETROIT (AP) — An arrest warrant has been issued for Grammy Award-winning  ...,Huffington Post,e,arrest warrant issue win
33538,Anita Baker learns on TV of warrant issued for her arrest in Detroit,Daily Mail,e,learn tv warrant issue arrest
33541,Anita Baker Warrant Issued In Dispute Over Decorating Work Done In Singer's  ...,Huffington Post,e,issue dispute decorate work
33544,Anita Baker - Arrest Warrant Issued For Singer Anita Baker,Contactmusic.com,e,warrant issue
33555,Madonna bares her unshaven underarm on Instagram,Los Angeles Times,e,bare unshaven underarm
33583,Madonna posts hairy armpit selfie,Examiner.com,e,post hairy selfie
33611,Madonna Shows Long Armpit Hair In New Instagram Pic,Huffington Post,e,show long hair
33642,Madonna reveals a little too much as she poses in fishnet tights and thong for  ...,Daily Mail,e,reveal little pose fishnet tight thong
33651,'This is going to be fun!' Isaac Hanson and wife Nikki celebrate the birth of  ...,Daily Mail,e,go fun wife celebrate birth
33692,Kim Kardashian displays 50-lb weight loss in Vogue: Her low carb ketogenic diet,Examiner.com,e,display weight loss vogue low carb diet
33721,Anna Wintour: Rumor Kanye begged for Kim's Vogue cover 'isn't true',Los Angeles Times,e,beg cover true
33727,Kim Kardashian Vogue cover: Readers slam cover as Kimye infiltrates class venue,Examiner.com,e,cover slam cover infiltrate class venue
33741,Kermit and Miss Piggy spoof Kim Kardashian and Kanye Vogue cover,Daily Mail,e,spoof cover
33763,Sarah Michelle Gellar Slams Kim Kardashian And The  ...,Huffington Post,e,
33766,Anna Wintour - Anna Wintour Defends Kim Kardashian And Kanye West Vogue  ...,Contactmusic.com,e,defend
33781,So This Is What Twitter Has To Say About The #WorldsMostTalkedAboutCouple,Huffington Post,e,twitter worldsmosttalkedaboutcouple
33787,Khloe Kardashian reveals bleached waist-length locks,Daily Mail,e,reveal bleach waist length lock
33830,Kim Kardashian - Kim Kardashian lands the cover of US Vogue,Contactmusic.com,e,land cover vogue
33831,"Anna Wintour Speaks Out About Kim Kardashian's Vogue Cover, Clears Up The  ...",Huffington Post,e,speak clear
33844,Kate Upton booted from 'Vogue' cover for Kim Kardashian and Kanye West,Examiner.com,e,boot vogue cover
33845,Sarah Michelle Gellar slams Kim Kardashian's Vogue cover on Twitter,Examiner.com,e,slam vogue cover
33846,Kim Kardashian reveals cleavage in racy dress,Examiner.com,e,reveal cleavage racy dress
33856,'Vogue' Magazine Puts Kim Kardashian on the Cover and American  ...,Examiner.com,e,put american
33863,Kim Kardashian wears wedding dress on first American Vogue cover with Kanye  ...,Daily Mail,e,wear wedding dress american vogue cover
33864,Sarah Michelle Gellar slams US Vogue decision to feature Kim Kardashian on its  ...,Daily Mail,e,slam vogue decision feature
33882,Anna Wintour - Anna Wintour praises Kim Kardashian,Contactmusic.com,e,praise
33885,Kardashians derrière halted Vogue cover shoot!,Examiner.com,e,derrière halt cover shoot
33909,Kourtney Kardashian dotes on son Mason during family outing as she leads the  ...,Daily Mail,e,dote son family out lead
33925,No Begging Involved: Kim Kardashian And Kanye West Hear Wedding Bells On  ...,Contactmusic.com,e,beg involve wedding bell
33933,"Kim Kardashian, Kanye West land Vogue cover, show off baby North",Los Angeles Times,e,land vogue cover baby
33978,"Alexis Shapiro, Obese But Starving 12-Year-Old, Undergoes Weight Loss Surgery",Huffington Post,m,starve old undergo weight loss surgery
34036,100 needless mastectomies every year because doctors over-estimate the size  ...,Daily Mail,m,needless mastectomy year doctor estimate size
34038,Meta analysis confirms physical activity reduces breast cancer risk in all women,Examiner.com,m,analysis confirm physical activity reduce breast cancer risk woman
34088,Breast cancer deaths plunge: British fall is the fastest in Europe in the last two  ...,Daily Mail,m,breast cancer death plunge british fall fast
34104,Texas woman gives birth to quintuplets,Examiner.com,m,woman give birth quintuplet
34110,Texas Couple Readies For Life With New Quintuplets,GlobalPost,m,life quintuplet
34128,Obese Teens With High-Salt Diet More Likely To Experience Fast Cell Aging,RTT News,m,obese teen high salt diet likely experience fast cell age
34168,UPDATE 1-Guinea haemorrhagic fever may have crossed into Sierra Leone,Reuters,m,update haemorrhagic fever cross
34214,Local TB cases up 7% in 2013; increase is mostly among the homeless,Los Angeles Times,m,local case increase homeless
34221,"Water Births May Be Risky, Doctors' Groups Say",Huffington Post,m,water birth risky doctor group
34227,"Water Births May Pose Risk, Doctors' Groups Say",RTT News,m,water birth pose risk doctor group
34275,Planet Fitness toned body controversy,Examiner.com,m,tone body controversy
34320,Giraffe kisses zookeeper: Giraffe and cancer-stricken zookeeper share dying kiss,Examiner.com,m,kiss zookeeper cancer stricken zookeeper share die kiss
34321,Giraffe kiss photo with dying zoo volunteer goes viral,Examiner.com,m,kiss photo die go viral
34422,"Bill Cassidy Attacks Obamacare Medicare Savings, But Admits He Voted For Them",Huffington Post,m,admit vote
34424,That smells about right: The human nose can identify more than 1 TRILLION  ...,Daily Mail,m,smell right human nose identify
34461,Humans can detect at least 1000000000000 different smells,GlobalPost,m,human detect different smell
34500,"How do humans smell? Better than expected (or we would, if it weren't for  ...",Daily Mail,m,human smell well expect
34513,"Take a whiff! You can smell 1 trillion scents, study finds",Los Angeles Times,m,whiff smell scent study find
34591,FitBit Faces Yet Another Fight Over Its Rash-Creating Trackers,Huffington Post,m,face fight rash create tracker
34606,UPDATE 2-US FDA approves Celgene drug for psoriatic arthritis,Reuters,m,update approve celgene drug psoriatic arthritis
34610,FDA Approves Celgene's OTEZLA For Treatment Of Psoriatic Arthritis,RTT News,m,
34613,Celgene Wins Approval for Pill to Treat Psoriatic Arthritis (2),Businessweek,m,win approval treat
34614,FDA Approve Celgene's OTEZLA For Treatment Of Psoriatic Arthritis,NASDAQ,m,
34619,US FDA approves Celgene drug for psoriatic arthritis,Reuters,m,approve celgene drug psoriatic arthritis
34677,WRAPUP 1-Search area for Malaysian airliner widened after French satellite  ...,Reuters,b,area malaysian airliner widen french satellite
34680,RPT-WRAPUP 5-French satellite image also shows possible plane debris,Reuters,b,satellite image show possible plane debris
34745,Australia Renewing Jet Search Buoyed by French Satellite Imagery,Businessweek,b,search buoy
34777,Malaysian Flight MH370 fuels wild speculation,Examiner.com,b,malaysian fuel wild speculation
34822,Malaysia says French satellite detects debris in plane search area,GlobalPost,b,say french satellite detect debris plane search area
34844,"Flight MH370: Debris in Indian Ocean seen is wooden pallet, possible plane wing",Examiner.com,b,flight mh370 debris see wooden pallet possible plane wing
34856,WRAPUP 5-French satellite image also shows possible plane debris,Reuters,b,satellite image show possible plane debris
35048,US mortgage applications fell last week: MBA,Reuters,b,mortgage application fall week
35164,Terrible Feature Of The Housing Bubble Makes A Comeback,Huffington Post,b,terrible feature bubble make comeback
35206,California Probing Credit Card Breach at Driver's License Agency,Businessweek,b,
35210,Department of Motor Vehicles in California investigating possible credit card  ...,Daily Mail,b,investigate possible credit card
35234,California DMV probing possible breach of customer credit cards,Los Angeles Times,b,probe possible breach customer credit card
35237,UPDATE 2-California DMV probing possible breach of credit card system,Reuters,b,probe possible breach credit card system
35238,California DMV Investigating Potential Credit Card Breach -- Update,NASDAQ,b,dmv investigate update
35242,UPDATE 1-California DMV probing possible breach of credit card system,Reuters,b,probe possible breach credit card system
35243,California DMV investigating possible breach of credit card system,Reuters,b,investigate possible breach credit card system
35246,DMV investigating potential breach in credit card processing,Los Angeles Times,b,investigate potential breach credit card processing
35249,California DMV Investigating Potential Credit Card Breach,NASDAQ,b,dmv investigate card
35261,HOW TO PLAY IT-Yellen surprise suggests investors should go on defense,Reuters,b,play surprise suggest investor defense
35267,"Fake U.S. ship spotted in Gulf is a movie set, Iranian media say",GlobalPost,b,fake ship spot movie set iranian medium
35287,Iran builds life-size replica of nuclear-powered U.S. Nimitz-class aircraft carrier  ...,Daily Mail,b,build life size replica nuclear power class aircraft carrier
35305,Sending it to a higher place? Customs officials intercept shipment of cocaine  ...,Daily Mail,b,send high place official intercept shipment cocaine
35329,Germany seizes cocaine-filled condoms sent to Vatican,GlobalPost,b,seize cocaine fill condom send
35416,Only 11% of the long-term unemployed find work again a year later,Los Angeles Times,b,long term unemployed find work year later
35457,UPDATE 3-Tiffany's US sales on the mend; shares rise,Reuters,b,sale mend share rise
35465,Tiffany Profit Forecast Trails Estimates as Spending Rises,Businessweek,b,trail estimate spending rise
35473,Tiffany sees full-year revenues rising in high single digits,GlobalPost,b,see year revenue rise high single digit
35474,"Tiffany sales sparkle in key holiday season, but hefty charges leads to 4Q loss  ...",GlobalPost,b,tiffany sale sparkle key holiday season hefty charge lead loss
35478,Tiffany sees full-year revs rising in high single digits,Reuters,b,see year revs rise high single digit
35479,"Tiffany Q4 Results Miss View Amid Hefty Charge, To Buy Back Shares",NASDAQ,b,charge buy share
35488,Tiffany Slips To Loss In Q4; To Buy Back Shares - Quick Facts,RTT News,b,loss buy
35509,Five ways Tesla Motors pushes technology change in auto industry,Los Angeles Times,b,way push technology change auto industry
35541,Arizona Opens Door for Tesla - Analyst Blog,NASDAQ,b,open
35619,UPDATE 4-Seized oil tanker Morning Glory arrives in Libyan capital,Reuters,b,oil tanker arrive libyan capital
35623,Seized oil tanker Morning Glory arrives in Libyan capital: witness,Reuters,b,seize oil tanker arrive libyan capital witness
35624,US forces hand over seized oil tanker to Libya,Reuters,b,force hand seized oil tanker
35628,Seized oil tanker Morning Glory docks in Libyan capital Tripoli-witness,Reuters,b,seize oil tanker dock libyan capital witness
35644,U.S. Navy hands over North Korean-flagged oil tanker Morning Glory to Libya  ...,Daily Mail,b,hand north korean flagged oil tanker
35646,UPDATE 4-US forces hand over seized oil tanker to Libya,Reuters,b,update force hand seized oil tanker
35666,US stocks pull back amid caution ahead of weekend,GlobalPost,b,stock pull caution ahead weekend
35671,S&P 500 Caps Best Week Since February on Improving Economic Data,Businessweek,b,cap good week improve datum
35680,Stocks Move To The Downside After Early Buying Interest Fades - U.S.  ...,RTT News,b,stock early
35681,"Major Averages Close In The Red, Nasdaq Underperforms",RTT News,b,average close
35682,U.S. Stocks End Lower,NASDAQ,b,stock end lower
35684,US STOCKS SNAPSHOT-Wall St ends down as investors book profits,Reuters,b,stock end investor book profit
35688,Closing Update: Markets Drift Lower in Afternoon Swoon; Bullard Comments  ...,NASDAQ,b,close update market drift low comment
35694,"Russia may actually be hurting from the US, EU sanctions",GlobalPost,b,actually hurt sanction
35695,Can't hold a good stock market down: S&P 500 sets intraday record,Los Angeles Times,b,hold good stock market set intraday record
35700,Stocks rebound from Fed-sparked losses,GlobalPost,b,stock rebound spark loss
35707,The Top 4 Things to Do to Avoid an Audit,NASDAQ,b,thing avoid
35715,US IRS audited fewer wealthy Americans in 2013,Reuters,b,audit few wealthy
35724,"Shifts in rainfall, not warming pause, slow sea level rise",GlobalPost,t,shift rainfall warm pause slow sea level rise
35740,"Climate Change Will Disrupt Food Supplies, Slow Economies, Cause  ...",Huffington Post,t,climate change slow cause
35776,"Americans See Climate Change As Serious Threat, Just Not Anytime Soon",Huffington Post,t,change anytime soon
35792,"UN: ""We're Talking About 20 to 30 Years From Now""",Huffington Post,t,talk year
35799,"The Climate Post: Reports, Website Document Effects of and Need for Dialogue  ...",Huffington Post,t,report effect dialogue
35806,HBO's 'Vice' Takes On Climate Change: 'It's The Single Greatest Problem Facing  ...,Huffington Post,t,vice take climate change face
35825,US gas prices rose nearly 5 cents over 2 weeks - survey,Reuters,t,gas price rise nearly cent week survey
35877,Wasted Catch: It's Time to Stop Wasting Seafood,Huffington Post,t,waste time stop waste
35881,Oceana Report Sheds Light On Staggering By-Catch Problem In US Fisheries,Huffington Post,t,shed light staggering
35890,Netflix reveals payment deal with Comcast and net neutrality position,Examiner.com,t,reveal payment deal net neutrality position
35916,Scientists believe DNA could be used to determine how our ancestors might  ...,Daily Mail,t,scientist believe dna determine ancestor
35939,New Computer Program Creates 3D 'Mugshots' From DNA,Huffington Post,t,create 3d mugshot dna
35943,First step towards creating genetic mugshots that could make catching crooks  ...,Daily Mail,t,step create genetic mugshot catching crook
36009,Mars Gully Observed By NASA Orbiter Wasn't There Three Years Ago (PHOTO),Huffington Post,t,gully observe year ago
36078,Latest Reason To Quit Hotmail: Microsoft Admits To Spying On It,Huffington Post,t,late reason admit spy
36109,"#Gasp! Twitter experimenting with killing the @ symbol, hashtags",Los Angeles Times,t,twitter experiment kill symbol hashtag
36182,"After leak, Ubisoft unveils 'Assassin's Creed: Unity,' to drop at holiday 2014",Examiner.com,t,leak unveil unity drop holiday
36197,Legendary singer Aretha Franklin says that all she wants for her birthday is a  ...,Daily Mail,e,legendary singer say want birthday
36222,Divergent steals number one at the box office with $56M opening weekend,Daily Mail,e,divergent steal number box office opening weekend
36227,Lions Gate Teen Warrior Film 'Divergent' Debut Tops Theaters,Businessweek,e,lion
36230,'Divergent' dominates weekend box-office',Examiner.com,e,dominate weekend box office
36232,"'Divergent' director talks deviating from Veronica Roth novel, fan ire",Los Angeles Times,e,director talk deviate novel fan
36235,"'Divergent' delivers, Muppets stumble at box office",Los Angeles Times,e,deliver muppet stumble box office
36242,'Divergent' teen warriors defeat 'Muppets' at box office,GlobalPost,e,teen warrior defeat muppet box office
36275,The top films at the North American box office,Reuters,e,film office
36285,UPDATE 1-'Divergent' teen warriors defeat 'Muppets' at box office,Reuters,e,teen warrior defeat muppet box office
36291,"'Divergent' franchise kicks off with $56 million box-office, shy of some expectations",GlobalPost,e,franchise kick box office shy expectation
36318,Categorizing 'Divergent': Five dystopian questions,Los Angeles Times,e,categorize divergent dystopian question
36352,Sarah Michelle Gellar Slams Kim Kardashian And The  ...,Huffington Post,e,
36358,Kim Kardashian reveals cleavage in racy dress,Examiner.com,e,reveal cleavage racy dress
36377,Kim Kardashian Covers Vogue With Kanye West (And The Internet Almost  ...,Huffington Post,e,cover vogue internet
36421,Kim Kardashian buys Calvin Klein outfit in TWO different colours,Daily Mail,e,buy outfit different colour
36424,Kim Kardashian emerges fresh-faced from cosmetic laser clinic as wedding nears,Daily Mail,e,emerge fresh face cosmetic laser clinic wedding near
36426,Kim Kardashian shows off curvaceous derriere in figure hugging skirt,Daily Mail,e,show curvaceous derriere figure hugging skirt
